               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.067587,            0.024944,            0.012727,              0.6989,             0.58837,             0.65421,              0.3452,            0.071928,            0.014063,             0.02167,           0.0093369,           0.0093369,           0.0093369
                  37,            0.066787,            0.025896,            0.011803,             0.68137,             0.58567,              0.6345,             0.34965,            0.072729,            0.013775,            0.015949,           0.0092995,           0.0092995,           0.0092995
                  38,            0.064163,            0.025721,            0.011043,             0.73138,             0.57593,             0.63758,              0.3603,            0.070454,            0.014298,            0.017315,           0.0092611,           0.0092611,           0.0092611
                  39,            0.064797,            0.024952,            0.011322,             0.64742,             0.62439,             0.63541,              0.3582,            0.068798,             0.01459,            0.019822,           0.0092219,           0.0092219,           0.0092219
                  40,            0.064511,             0.02507,            0.010223,             0.64519,              0.5921,             0.60561,             0.34499,            0.075822,            0.013551,            0.022294,           0.0091817,           0.0091817,           0.0091817
                  41,            0.062254,            0.024672,            0.010337,             0.66304,             0.63332,             0.65309,             0.38116,            0.068943,            0.013683,            0.022103,           0.0091406,           0.0091406,           0.0091406
                  42,            0.062207,            0.024557,            0.010918,             0.72786,              0.5928,             0.64966,             0.36878,            0.065687,            0.014223,            0.028237,           0.0090986,           0.0090986,           0.0090986
                  43,            0.061304,            0.024355,            0.010562,             0.72129,             0.60043,             0.66188,             0.39583,            0.073945,            0.013086,            0.016663,           0.0090557,           0.0090557,           0.0090557
                  44,            0.061493,            0.024645,            0.010078,             0.66545,             0.61189,             0.63365,             0.36842,              0.0712,              0.0138,            0.017402,           0.0090119,           0.0090119,           0.0090119
                  45,            0.060309,            0.025386,            0.010342,             0.73853,             0.60033,             0.67514,              0.4066,             0.06516,            0.013592,            0.016739,           0.0089673,           0.0089673,           0.0089673
                  46,            0.062216,            0.024236,           0.0095612,             0.70043,             0.67981,             0.70765,             0.41675,            0.066741,            0.013845,            0.014178,           0.0089218,           0.0089218,           0.0089218
